,total_num,average_revenue,rating,voting_total
Joe Pytka,1.0,250200000.0,6.5,1288.0
Stefen Fangmeier,1.0,249288105.0,4.9,967.0
Morten Tyldum,2.0,249255415.0,7.941342698464554,6122.0
Cody Cameron,1.0,248384621.0,6.4,915.0
Kris Pearn,1.0,248384621.0,6.4,915.0
Eduardo Sánchez,1.0,248000000.0,6.3,1055.0
Daniel Myrick,1.0,248000000.0,6.3,1055.0
Luke Greenfield,4.0,247707109.0,6.105788876276958,2643.0
Anthony Stacchi,2.0,245564797.0,6.35226586102719,1324.0
Glenn Ficarra,3.0,244466195.0,6.806049562682215,5488.0
John Requa,3.0,244466195.0,6.806049562682215,5488.0
Stephen Hopkins,6.0,240023288.0,5.962182296231376,2282.0
John Cornell,1.0,239606210.0,5.5,303.0
Richard Lester,5.0,239048998.0,6.163335782512858,1361.0
José Padilha,2.0,238688965.0,6.071890372452565,2846.0
Jean-Pierre Jeunet,5.0,236416743.0,7.200314756526569,5401.0
Andrew Niccol,6.0,233724584.0,6.744792808594607,9122.0
Roger Donaldson,7.0,232060986.0,6.187761194029851,2680.0
Simon Wells,3.0,231335122.0,6.25980570734669,1647.0
Steve Oedekerk,4.0,230164533.0,6.012371756185878,1657.0
Steve Bendelack,1.0,229736344.0,6.1,663.0
Aaron Seltzer,5.0,229717971.0,3.566142270861833,1462.0
Jason Friedberg,5.0,229717971.0,3.566142270861833,1462.0
Randall Wallace,4.0,229245117.0,6.402191341528594,1871.0
Neil Jordan,8.0,228880588.0,6.973481973434535,2108.0
Kirk Jones,5.0,227113073.0,6.113078880407125,1965.0
Mark Steven Johnson,2.0,226991808.0,5.238321995464853,1764.0
Marc Lawrence,3.0,226531590.0,5.8585421412300684,1317.0
Tommy Wirkola,2.0,225988137.0,5.735042253521126,3550.0
Pierre Morel,4.0,225885585.0,6.899316780536577,6001.0
Juan Antonio Bayona,2.0,224274123.0,7.0238148984198645,2658.0
Tom Tykwer,6.0,223031089.0,6.7463784183296385,5412.0
John Hamburg,3.0,222600372.0,6.082592024539877,1304.0
Penny Marshall,4.0,221203191.0,6.773938602220771,1531.0
Albert Hughes,3.0,221065870.0,6.633723196881091,3078.0
Jon Lucas,2.0,219001746.0,6.077677224736048,1989.0
Scott Moore,2.0,219001746.0,6.077677224736048,1989.0
Richard Linklater,11.0,218732037.0,7.240939875604701,7235.0
Gary Shore,1.0,215529201.0,6.2,2389.0
David Twohy,4.0,215150325.0,6.383028720626632,5745.0
David Lean,4.0,213341401.0,7.675043936731109,1707.0
Takashi Shimizu,2.0,212618441.0,5.6520905923344955,1148.0
Les Mayfield,5.0,212134478.0,5.505712109672506,1313.0
Breck Eisner,3.0,211162536.0,5.832815778430549,2383.0
Ken Kwapis,4.0,210338941.0,6.112228571428571,1750.0
Thea Sharrock,1.0,207945075.0,7.6000000000000005,2562.0
John G. Avildsen,2.0,207050705.0,7.300671140939598,2682.0
Greg Mottola,3.0,206679653.0,6.71104626026805,4626.0
Jon Amiel,3.0,206206151.0,6.152117263843649,921.0
Patrick Hughes,1.0,206172544.0,6.1,1795.0
Jonathan Frakes,4.0,206076920.0,6.419318181818182,1232.0
Babak Najafi,1.0,205754447.0,5.8,1621.0
Peter Howitt,4.0,202794793.0,6.071633629528366,1463.0
Hugh Wilson,4.0,202361916.0,6.331668237511781,1061.0
Leonard Nimoy,3.0,202000000.0,6.474484536082475,1164.0
Richard LaGravenese,6.0,199818418.0,6.413032113517551,2678.0
Ryan Murphy,2.0,199348914.0,5.8,714.0
Steve McQueen,2.0,198193675.0,7.726885029676853,4549.0
Jill Culton,1.0,197309027.0,6.1,656.0
John Whitesell,5.0,197105546.0,5.2421225382932155,914.0
Ruben Fleischer,3.0,196539725.0,6.7515275644307895,5859.0
Michael Sucsy,1.0,196114570.0,7.0,1293.0
Don Bluth,3.0,195719828.0,7.148301886792453,2385.0
Roman Polanski,6.0,195588974.0,7.287144240077444,5165.0
Soi Cheang,1.0,193677158.0,6.0,24.0
Kevin Greutert,2.0,193384063.0,5.8994490358126725,1452.0
Oren Peli,2.0,193340800.0,5.725017041581459,1467.0
Phil Alden Robinson,1.0,193000000.0,5.9,437.0
Steve Box,1.0,192452832.0,6.8,643.0
Stephen Chow,3.0,190992676.0,6.91147655703289,1429.0
Ryan Coogler,2.0,190953411.0,7.3,2305.0
